Comunidades y Ciudades Autónomas;Sectores de actividad;Tipo de indicador;Componentes del coste;Periodo;Total
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2023;25.915,32
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2022;25.069,75
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2021;23.746,67
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2020;22.426,66
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2019;23.548,70
01 Andalucía;Industria;Valor absoluto;Sueldos y salarios;2018;24.335,01
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2023;23.315,53
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2022;21.947,51
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2021;21.553,41
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2020;21.692,75
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2019;20.905,48
01 Andalucía;Construcción;Valor absoluto;Sueldos y salarios;2018;20.853,79
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2023;23.090,31
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2022;21.950,78
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2021;20.852,29
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2020;19.934,47
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2019;20.028,18
01 Andalucía;Servicios;Valor absoluto;Sueldos y salarios;2018;19.438,66
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2023;29.172,17
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2022;27.143,24
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2021;26.162,80
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2020;24.676,51
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2019;27.165,98
02 Aragón;Industria;Valor absoluto;Sueldos y salarios;2018;26.716,39
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2023;27.526,41
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2022;25.983,62
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2021;24.657,15
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2020;24.143,93
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2019;23.397,80
02 Aragón;Construcción;Valor absoluto;Sueldos y salarios;2018;23.471,18
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2023;24.359,48
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2022;23.118,43
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2021;22.224,45
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2020;20.725,02
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2019;21.221,51
02 Aragón;Servicios;Valor absoluto;Sueldos y salarios;2018;20.299,35
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2023;32.223,21
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2022;31.694,07
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2021;29.234,52
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2020;29.311,34
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2019;31.066,54
03 Asturias, Principado de;Industria;Valor absoluto;Sueldos y salarios;2018;29.893,40
03 Asturias, Principado de;Construcción;Valor absoluto;Sueldos y salarios;2023;27.014,76
03 Asturias, Principado de;Construcción;Valor absoluto;Sueldos y salarios;2022;26.334,51
03 Asturias, Principado de;Construcción;Valor absoluto;Sueldos y salarios;2021;25.361,06
03 Asturias, Principado de;Construcción;Valor absoluto;Sueldos y salarios;2020;25.291,67
03 Asturias, Principado de;Construcción;Valor absoluto;Sueldos y salarios;2019;25.763,19
03 Asturias, Principado de;Construcción;Valor absoluto;Sueldos y salarios;2018;25.204,61
03 Asturias, Principado de;Servicios;Valor absoluto;Sueldos y salarios;2023;24.659,33
03 Asturias, Principado de;Servicios;Valor absoluto;Sueldos y salarios;2022;23.565,64
03 Asturias, Principado de;Servicios;Valor absoluto;Sueldos y salarios;2021;23.245,21
03 Asturias, Principado de;Servicios;Valor absoluto;Sueldos y salarios;2020;22.363,47
03 Asturias, Principado de;Servicios;Valor absoluto;Sueldos y salarios;2019;22.478,83
03 Asturias, Principado de;Servicios;Valor absoluto;Sueldos y salarios;2018;21.858,50
04 Balears, Illes;Industria;Valor absoluto;Sueldos y salarios;2023;26.903,28
04 Balears, Illes;Industria;Valor absoluto;Sueldos y salarios;2022;25.594,06
04 Balears, Illes;Industria;Valor absoluto;Sueldos y salarios;2021;23.869,95
04 Balears, Illes;Industria;Valor absoluto;Sueldos y salarios;2020;22.034,59
04 Balears, Illes;Industria;Valor absoluto;Sueldos y salarios;2019;23.597,61
04 Balears, Illes;Industria;Valor absoluto;Sueldos y salarios;2018;23.122,97
04 Balears, Illes;Construcción;Valor absoluto;Sueldos y salarios;2023;24.755,50
04 Balears, Illes;Construcción;Valor absoluto;Sueldos y salarios;2022;22.818,26
04 Balears, Illes;Construcción;Valor absoluto;Sueldos y salarios;2021;22.043,45
04 Balears, Illes;Construcción;Valor absoluto;Sueldos y salarios;2020;20.887,75
04 Balears, Illes;Construcción;Valor absoluto;Sueldos y salarios;2019;22.022,86
04 Balears, Illes;Construcción;Valor absoluto;Sueldos y salarios;2018;21.153,76
04 Balears, Illes;Servicios;Valor absoluto;Sueldos y salarios;2023;25.883,86
04 Balears, Illes;Servicios;Valor absoluto;Sueldos y salarios;2022;23.798,96
04 Balears, Illes;Servicios;Valor absoluto;Sueldos y salarios;2021;21.846,48
04 Balears, Illes;Servicios;Valor absoluto;Sueldos y salarios;2020;19.593,25
04 Balears, Illes;Servicios;Valor absoluto;Sueldos y salarios;2019;22.485,20
04 Balears, Illes;Servicios;Valor absoluto;Sueldos y salarios;2018;22.482,52
05 Canarias;Industria;Valor absoluto;Sueldos y salarios;2023;23.752,10
05 Canarias;Industria;Valor absoluto;Sueldos y salarios;2022;23.201,12
05 Canarias;Industria;Valor absoluto;Sueldos y salarios;2021;21.638,24
05 Canarias;Industria;Valor absoluto;Sueldos y salarios;2020;21.323,83
05 Canarias;Industria;Valor absoluto;Sueldos y salarios;2019;21.906,42
05 Canarias;Industria;Valor absoluto;Sueldos y salarios;2018;21.904,65
05 Canarias;Construcción;Valor absoluto;Sueldos y salarios;2023;21.031,58
05 Canarias;Construcción;Valor absoluto;Sueldos y salarios;2022;20.033,23
05 Canarias;Construcción;Valor absoluto;Sueldos y salarios;2021;18.745,53
05 Canarias;Construcción;Valor absoluto;Sueldos y salarios;2020;19.027,04
05 Canarias;Construcción;Valor absoluto;Sueldos y salarios;2019;20.311,01
05 Canarias;Construcción;Valor absoluto;Sueldos y salarios;2018;19.374,72
05 Canarias;Servicios;Valor absoluto;Sueldos y salarios;2023;21.876,79
05 Canarias;Servicios;Valor absoluto;Sueldos y salarios;2022;21.096,65
05 Canarias;Servicios;Valor absoluto;Sueldos y salarios;2021;18.857,92
05 Canarias;Servicios;Valor absoluto;Sueldos y salarios;2020;16.941,19
05 Canarias;Servicios;Valor absoluto;Sueldos y salarios;2019;19.562,23
05 Canarias;Servicios;Valor absoluto;Sueldos y salarios;2018;19.361,08
06 Cantabria;Industria;Valor absoluto;Sueldos y salarios;2023;29.546,37
06 Cantabria;Industria;Valor absoluto;Sueldos y salarios;2022;28.120,17
06 Cantabria;Industria;Valor absoluto;Sueldos y salarios;2021;26.567,07
06 Cantabria;Industria;Valor absoluto;Sueldos y salarios;2020;26.209,79
06 Cantabria;Industria;Valor absoluto;Sueldos y salarios;2019;27.196,61
06 Cantabria;Industria;Valor absoluto;Sueldos y salarios;2018;26.921,70
06 Cantabria;Construcción;Valor absoluto;Sueldos y salarios;2023;24.007,71
06 Cantabria;Construcción;Valor absoluto;Sueldos y salarios;2022;23.985,89
06 Cantabria;Construcción;Valor absoluto;Sueldos y salarios;2021;22.261,75
06 Cantabria;Construcción;Valor absoluto;Sueldos y salarios;2020;21.510,73
06 Cantabria;Construcción;Valor absoluto;Sueldos y salarios;2019;22.676,41
06 Cantabria;Construcción;Valor absoluto;Sueldos y salarios;2018;21.245,41
06 Cantabria;Servicios;Valor absoluto;Sueldos y salarios;2023;23.310,33
06 Cantabria;Servicios;Valor absoluto;Sueldos y salarios;2022;22.495,95
06 Cantabria;Servicios;Valor absoluto;Sueldos y salarios;2021;21.355,10
06 Cantabria;Servicios;Valor absoluto;Sueldos y salarios;2020;20.975,65
06 Cantabria;Servicios;Valor absoluto;Sueldos y salarios;2019;21.464,65
06 Cantabria;Servicios;Valor absoluto;Sueldos y salarios;2018;20.978,21
07 Castilla y León;Industria;Valor absoluto;Sueldos y salarios;2023;28.539,91
07 Castilla y León;Industria;Valor absoluto;Sueldos y salarios;2022;27.122,61
07 Castilla y León;Industria;Valor absoluto;Sueldos y salarios;2021;25.611,53
07 Castilla y León;Industria;Valor absoluto;Sueldos y salarios;2020;24.855,59
07 Castilla y León;Industria;Valor absoluto;Sueldos y salarios;2019;25.456,58
07 Castilla y León;Industria;Valor absoluto;Sueldos y salarios;2018;24.797,12
07 Castilla y León;Construcción;Valor absoluto;Sueldos y salarios;2023;22.888,17
07 Castilla y León;Construcción;Valor absoluto;Sueldos y salarios;2022;22.722,25
07 Castilla y León;Construcción;Valor absoluto;Sueldos y salarios;2021;22.019,78
07 Castilla y León;Construcción;Valor absoluto;Sueldos y salarios;2020;21.697,84
07 Castilla y León;Construcción;Valor absoluto;Sueldos y salarios;2019;21.727,93
07 Castilla y León;Construcción;Valor absoluto;Sueldos y salarios;2018;21.358,49
07 Castilla y León;Servicios;Valor absoluto;Sueldos y salarios;2023;22.779,81
07 Castilla y León;Servicios;Valor absoluto;Sueldos y salarios;2022;21.692,50
07 Castilla y León;Servicios;Valor absoluto;Sueldos y salarios;2021;21.031,85
07 Castilla y León;Servicios;Valor absoluto;Sueldos y salarios;2020;19.840,38
07 Castilla y León;Servicios;Valor absoluto;Sueldos y salarios;2019;19.845,97
07 Castilla y León;Servicios;Valor absoluto;Sueldos y salarios;2018;19.498,46
08 Castilla - La Mancha;Industria;Valor absoluto;Sueldos y salarios;2023;25.675,14
08 Castilla - La Mancha;Industria;Valor absoluto;Sueldos y salarios;2022;24.842,02
08 Castilla - La Mancha;Industria;Valor absoluto;Sueldos y salarios;2021;23.724,83
08 Castilla - La Mancha;Industria;Valor absoluto;Sueldos y salarios;2020;22.914,28
08 Castilla - La Mancha;Industria;Valor absoluto;Sueldos y salarios;2019;23.396,92
08 Castilla - La Mancha;Industria;Valor absoluto;Sueldos y salarios;2018;23.460,37
08 Castilla - La Mancha;Construcción;Valor absoluto;Sueldos y salarios;2023;22.445,58
08 Castilla - La Mancha;Construcción;Valor absoluto;Sueldos y salarios;2022;21.283,66
08 Castilla - La Mancha;Construcción;Valor absoluto;Sueldos y salarios;2021;20.323,86
08 Castilla - La Mancha;Construcción;Valor absoluto;Sueldos y salarios;2020;18.916,16
08 Castilla - La Mancha;Construcción;Valor absoluto;Sueldos y salarios;2019;19.644,88
08 Castilla - La Mancha;Construcción;Valor absoluto;Sueldos y salarios;2018;19.581,21
08 Castilla - La Mancha;Servicios;Valor absoluto;Sueldos y salarios;2023;23.055,70
08 Castilla - La Mancha;Servicios;Valor absoluto;Sueldos y salarios;2022;22.034,69
08 Castilla - La Mancha;Servicios;Valor absoluto;Sueldos y salarios;2021;20.909,71
08 Castilla - La Mancha;Servicios;Valor absoluto;Sueldos y salarios;2020;19.866,72
08 Castilla - La Mancha;Servicios;Valor absoluto;Sueldos y salarios;2019;19.721,04
08 Castilla - La Mancha;Servicios;Valor absoluto;Sueldos y salarios;2018;19.299,63
09 Cataluña;Industria;Valor absoluto;Sueldos y salarios;2023;33.983,83
09 Cataluña;Industria;Valor absoluto;Sueldos y salarios;2022;32.022,77
09 Cataluña;Industria;Valor absoluto;Sueldos y salarios;2021;30.682,64
09 Cataluña;Industria;Valor absoluto;Sueldos y salarios;2020;28.665,60
09 Cataluña;Industria;Valor absoluto;Sueldos y salarios;2019;30.532,07
09 Cataluña;Industria;Valor absoluto;Sueldos y salarios;2018;30.298,98
09 Cataluña;Construcción;Valor absoluto;Sueldos y salarios;2023;30.052,92
09 Cataluña;Construcción;Valor absoluto;Sueldos y salarios;2022;27.890,64
09 Cataluña;Construcción;Valor absoluto;Sueldos y salarios;2021;26.000,87
09 Cataluña;Construcción;Valor absoluto;Sueldos y salarios;2020;25.215,47
09 Cataluña;Construcción;Valor absoluto;Sueldos y salarios;2019;24.287,88
09 Cataluña;Construcción;Valor absoluto;Sueldos y salarios;2018;23.726,72
09 Cataluña;Servicios;Valor absoluto;Sueldos y salarios;2023;27.624,31
09 Cataluña;Servicios;Valor absoluto;Sueldos y salarios;2022;26.478,22
09 Cataluña;Servicios;Valor absoluto;Sueldos y salarios;2021;25.041,28
09 Cataluña;Servicios;Valor absoluto;Sueldos y salarios;2020;23.037,17
09 Cataluña;Servicios;Valor absoluto;Sueldos y salarios;2019;24.096,54
09 Cataluña;Servicios;Valor absoluto;Sueldos y salarios;2018;23.463,18
10 Comunitat Valenciana;Industria;Valor absoluto;Sueldos y salarios;2023;25.872,07
10 Comunitat Valenciana;Industria;Valor absoluto;Sueldos y salarios;2022;25.148,74
10 Comunitat Valenciana;Industria;Valor absoluto;Sueldos y salarios;2021;23.965,56
10 Comunitat Valenciana;Industria;Valor absoluto;Sueldos y salarios;2020;22.767,14
10 Comunitat Valenciana;Industria;Valor absoluto;Sueldos y salarios;2019;23.572,24
10 Comunitat Valenciana;Industria;Valor absoluto;Sueldos y salarios;2018;22.981,21
10 Comunitat Valenciana;Construcción;Valor absoluto;Sueldos y salarios;2023;22.530,66
10 Comunitat Valenciana;Construcción;Valor absoluto;Sueldos y salarios;2022;21.279,26
10 Comunitat Valenciana;Construcción;Valor absoluto;Sueldos y salarios;2021;20.571,85
10 Comunitat Valenciana;Construcción;Valor absoluto;Sueldos y salarios;2020;20.125,33
10 Comunitat Valenciana;Construcción;Valor absoluto;Sueldos y salarios;2019;20.514,24
10 Comunitat Valenciana;Construcción;Valor absoluto;Sueldos y salarios;2018;20.552,00
10 Comunitat Valenciana;Servicios;Valor absoluto;Sueldos y salarios;2023;23.125,14
10 Comunitat Valenciana;Servicios;Valor absoluto;Sueldos y salarios;2022;22.317,57
10 Comunitat Valenciana;Servicios;Valor absoluto;Sueldos y salarios;2021;21.328,82
10 Comunitat Valenciana;Servicios;Valor absoluto;Sueldos y salarios;2020;19.613,19
10 Comunitat Valenciana;Servicios;Valor absoluto;Sueldos y salarios;2019;20.133,40
10 Comunitat Valenciana;Servicios;Valor absoluto;Sueldos y salarios;2018;19.861,78
11 Extremadura;Industria;Valor absoluto;Sueldos y salarios;2023;23.124,40
11 Extremadura;Industria;Valor absoluto;Sueldos y salarios;2022;22.699,12
11 Extremadura;Industria;Valor absoluto;Sueldos y salarios;2021;21.449,54
11 Extremadura;Industria;Valor absoluto;Sueldos y salarios;2020;21.501,88
11 Extremadura;Industria;Valor absoluto;Sueldos y salarios;2019;21.284,75
11 Extremadura;Industria;Valor absoluto;Sueldos y salarios;2018;20.919,24
11 Extremadura;Construcción;Valor absoluto;Sueldos y salarios;2023;19.978,83
11 Extremadura;Construcción;Valor absoluto;Sueldos y salarios;2022;19.616,99
11 Extremadura;Construcción;Valor absoluto;Sueldos y salarios;2021;20.008,38
11 Extremadura;Construcción;Valor absoluto;Sueldos y salarios;2020;18.615,83
11 Extremadura;Construcción;Valor absoluto;Sueldos y salarios;2019;18.815,29
11 Extremadura;Construcción;Valor absoluto;Sueldos y salarios;2018;18.377,78
11 Extremadura;Servicios;Valor absoluto;Sueldos y salarios;2023;20.534,24
11 Extremadura;Servicios;Valor absoluto;Sueldos y salarios;2022;20.137,16
11 Extremadura;Servicios;Valor absoluto;Sueldos y salarios;2021;19.121,14
11 Extremadura;Servicios;Valor absoluto;Sueldos y salarios;2020;18.079,56
11 Extremadura;Servicios;Valor absoluto;Sueldos y salarios;2019;18.938,98
11 Extremadura;Servicios;Valor absoluto;Sueldos y salarios;2018;18.390,70
12 Galicia;Industria;Valor absoluto;Sueldos y salarios;2023;27.624,74
12 Galicia;Industria;Valor absoluto;Sueldos y salarios;2022;26.065,77
12 Galicia;Industria;Valor absoluto;Sueldos y salarios;2021;25.397,50
12 Galicia;Industria;Valor absoluto;Sueldos y salarios;2020;25.219,85
12 Galicia;Industria;Valor absoluto;Sueldos y salarios;2019;25.871,64
12 Galicia;Industria;Valor absoluto;Sueldos y salarios;2018;25.008,11
12 Galicia;Construcción;Valor absoluto;Sueldos y salarios;2023;24.341,71
12 Galicia;Construcción;Valor absoluto;Sueldos y salarios;2022;24.351,19
12 Galicia;Construcción;Valor absoluto;Sueldos y salarios;2021;23.247,30
12 Galicia;Construcción;Valor absoluto;Sueldos y salarios;2020;21.840,13
12 Galicia;Construcción;Valor absoluto;Sueldos y salarios;2019;22.525,48
12 Galicia;Construcción;Valor absoluto;Sueldos y salarios;2018;21.166,90
12 Galicia;Servicios;Valor absoluto;Sueldos y salarios;2023;22.404,28
12 Galicia;Servicios;Valor absoluto;Sueldos y salarios;2022;21.715,22
12 Galicia;Servicios;Valor absoluto;Sueldos y salarios;2021;20.895,01
12 Galicia;Servicios;Valor absoluto;Sueldos y salarios;2020;19.743,01
12 Galicia;Servicios;Valor absoluto;Sueldos y salarios;2019;19.917,67
12 Galicia;Servicios;Valor absoluto;Sueldos y salarios;2018;19.297,13
13 Madrid, Comunidad de;Industria;Valor absoluto;Sueldos y salarios;2023;38.956,81
13 Madrid, Comunidad de;Industria;Valor absoluto;Sueldos y salarios;2022;37.877,09
13 Madrid, Comunidad de;Industria;Valor absoluto;Sueldos y salarios;2021;37.883,80
13 Madrid, Comunidad de;Industria;Valor absoluto;Sueldos y salarios;2020;36.292,00
13 Madrid, Comunidad de;Industria;Valor absoluto;Sueldos y salarios;2019;36.024,08
13 Madrid, Comunidad de;Industria;Valor absoluto;Sueldos y salarios;2018;34.955,36
13 Madrid, Comunidad de;Construcción;Valor absoluto;Sueldos y salarios;2023;26.929,62
13 Madrid, Comunidad de;Construcción;Valor absoluto;Sueldos y salarios;2022;28.413,22
13 Madrid, Comunidad de;Construcción;Valor absoluto;Sueldos y salarios;2021;25.966,55
13 Madrid, Comunidad de;Construcción;Valor absoluto;Sueldos y salarios;2020;24.966,09
13 Madrid, Comunidad de;Construcción;Valor absoluto;Sueldos y salarios;2019;25.884,80
13 Madrid, Comunidad de;Construcción;Valor absoluto;Sueldos y salarios;2018;25.709,84
13 Madrid, Comunidad de;Servicios;Valor absoluto;Sueldos y salarios;2023;31.792,60
13 Madrid, Comunidad de;Servicios;Valor absoluto;Sueldos y salarios;2022;29.852,67
13 Madrid, Comunidad de;Servicios;Valor absoluto;Sueldos y salarios;2021;28.847,08
13 Madrid, Comunidad de;Servicios;Valor absoluto;Sueldos y salarios;2020;27.237,78
13 Madrid, Comunidad de;Servicios;Valor absoluto;Sueldos y salarios;2019;27.493,75
13 Madrid, Comunidad de;Servicios;Valor absoluto;Sueldos y salarios;2018;27.023,90
14 Murcia, Región de;Industria;Valor absoluto;Sueldos y salarios;2023;24.779,69
14 Murcia, Región de;Industria;Valor absoluto;Sueldos y salarios;2022;24.225,38
14 Murcia, Región de;Industria;Valor absoluto;Sueldos y salarios;2021;24.015,05
14 Murcia, Región de;Industria;Valor absoluto;Sueldos y salarios;2020;22.828,26
14 Murcia, Región de;Industria;Valor absoluto;Sueldos y salarios;2019;23.618,60
14 Murcia, Región de;Industria;Valor absoluto;Sueldos y salarios;2018;23.046,09
14 Murcia, Región de;Construcción;Valor absoluto;Sueldos y salarios;2023;21.965,11
14 Murcia, Región de;Construcción;Valor absoluto;Sueldos y salarios;2022;20.880,28
14 Murcia, Región de;Construcción;Valor absoluto;Sueldos y salarios;2021;20.623,32
14 Murcia, Región de;Construcción;Valor absoluto;Sueldos y salarios;2020;20.119,11
14 Murcia, Región de;Construcción;Valor absoluto;Sueldos y salarios;2019;20.752,37
14 Murcia, Región de;Construcción;Valor absoluto;Sueldos y salarios;2018;19.877,43
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2023;22.788,84
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2022;21.809,82
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2021;21.368,14
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2020;20.209,94
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2019;19.527,20
14 Murcia, Región de;Servicios;Valor absoluto;Sueldos y salarios;2018;19.569,73
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2023;32.330,71
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2022;29.474,17
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2021;28.432,85
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2020;28.395,93
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2019;29.303,55
15 Navarra, Comunidad Foral de;Industria;Valor absoluto;Sueldos y salarios;2018;28.864,56
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2023;28.687,85
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2022;26.867,25
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2021;26.562,39
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2020;24.545,07
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2019;24.659,26
15 Navarra, Comunidad Foral de;Construcción;Valor absoluto;Sueldos y salarios;2018;24.359,35
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2023;27.141,91
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2022;25.912,72
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2021;24.861,27
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2020;24.106,82
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2019;23.819,52
15 Navarra, Comunidad Foral de;Servicios;Valor absoluto;Sueldos y salarios;2018;23.270,18
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2023;37.495,69
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2022;35.252,09
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2021;33.817,62
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2020;32.366,26
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2019;33.172,86
16 País Vasco;Industria;Valor absoluto;Sueldos y salarios;2018;33.054,17
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2023;29.392,81
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2022;28.283,38
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2021;27.161,01
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2020;26.452,78
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2019;26.629,55
16 País Vasco;Construcción;Valor absoluto;Sueldos y salarios;2018;26.981,33
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2023;28.236,98
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2022;27.454,97
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2021;26.752,19
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2020;25.470,06
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2019;25.905,63
16 País Vasco;Servicios;Valor absoluto;Sueldos y salarios;2018;25.400,59
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2023;25.845,14
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2022;24.642,35
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2021;23.942,53
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2020;23.344,47
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2019;24.283,75
17 Rioja, La;Industria;Valor absoluto;Sueldos y salarios;2018;24.022,91
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2023;25.321,95
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2022;23.973,24
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2021;22.999,39
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2020;21.430,73
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2019;22.436,66
17 Rioja, La;Construcción;Valor absoluto;Sueldos y salarios;2018;22.421,99
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2023;23.139,17
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2022;21.843,20
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2021;20.492,86
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2020;19.531,01
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2019;20.046,38
17 Rioja, La;Servicios;Valor absoluto;Sueldos y salarios;2018;19.405,68
